series,series-href,title,mid,mid-href
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Hightail Falls Galaxy","","http://www.ninsheetmusic.org/download/mid/1830"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Boss Select","","http://www.ninsheetmusic.org/download/mid/479"
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Vampire Killer","","http://www.ninsheetmusic.org/download/mid/2200"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Song of Healing","","http://www.ninsheetmusic.org/download/mid/2145"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Title Theme","","http://www.ninsheetmusic.org/download/mid/446"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","World Clear!","","http://www.ninsheetmusic.org/download/mid/2591"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Colin's Theme","","http://www.ninsheetmusic.org/download/mid/492"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","10:00 A.M.","","http://www.ninsheetmusic.org/download/mid/2032"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Start Grid Fanfare (GP & VS)","","http://www.ninsheetmusic.org/download/mid/2490"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","Life in the Mines Returns","","http://www.ninsheetmusic.org/download/mid/1970"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Pokémon Ruby Version & Pokémon Sapphire Version","null",""
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Battle with MetaKnight","","http://www.ninsheetmusic.org/download/mid/236"
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Lose a Life!","","http://www.ninsheetmusic.org/download/mid/526"
